desc,acc,br,ca,sub,n1,len
Fuel-diesel and petrol-other structures,6125000012,6,61,612,6125,10
T and S allowances-other structures,6125000013,6,61,612,6125,10
Food and Refreshments-other structures,6125000014,6,61,612,6125,10
Hire of Vehicles-other structures,6125000015,6,61,612,6125,10
Hire of Plant and Eqiupment-structures,6125000016,6,61,612,6125,10
Vehicle and Mobile Equipment Maintanance-other structures,6125000017,6,61,612,6125,10
Tools and Small Implements-other strucures,6125000018,6,61,612,6125,10
Consultancy Services-other structures,6125000019,6,61,612,6125,10
Public Relations and Communication-other structures,6125000020,6,61,612,6125,10
Office Supplies and Stationery -other structures,6125000021,6,61,612,6125,10
Valuables ,613,6,61,613,613,3
Non-monetary gold,6131,6,61,613,6131,4
Precious stones and metals,6131000001,6,61,613,6131,10
"Paintings, sculptures, and other art work or antiques",6131000002,6,61,613,6131,10
Jewellery,6131000003,6,61,613,6131,10
Other Valuables not elsewhere classified,6131000004,6,61,613,6131,10
Non-produced assets ,614,6,61,614,614,3
Land,6141,6,61,614,6141,4
Agricultural Land,6141000001,6,61,614,6141,10
Commercial Land,6141000002,6,61,614,6141,10
Derelict  Land,6141000003,6,61,614,6141,10
Industrial Land,6141000004,6,61,614,6141,10
Land for Institutional Buildings,6141000005,6,61,614,6141,10
Public Open Space,6141000006,6,61,614,6141,10
Residential Land,6141000007,6,61,614,6141,10
Mineral and energy resources,6142,6,61,614,6142,4
Mineral and energy resources,6142000001,6,61,614,6142,10
Other naturally occurring assets,6143,6,61,614,6143,4
Non-cultivated Biological Resources,61431,6,61,614,6143,5
Non-cultivated Biological Resources,6143100001,6,61,614,6143,10
Water Resources,61432,6,61,614,6143,5
Water Resources,6143200001,6,61,614,6143,10
Other Natural Resources,61433,6,61,614,6143,5
Radio Spectra,6143300001,6,61,614,6143,10
Natural Resources not elsewhere classified,6143300002,6,61,614,6143,10
Intangible non-produced assets,6144,6,61,614,6144,4
"Contracts, leases, and licenses",61441,6,61,614,6144,5
Marketable operating leases,6144100001,6,61,614,6144,10
Permits to use natural resources,6144100002,6,61,614,6144,10
Permits to undertake specific activities,6144100003,6,61,614,6144,10
Entitlement to future goods and services on an exclusive basis,6144100004,6,61,614,6144,10
Goodwill and marketing assets,61442,6,61,614,6144,5
Goodwill and marketing assets,6144200001,6,61,614,6144,10
Fixed assets : Acquisitions,311,3,31,311,311,3
Buildings and structures,3111,3,31,311,3111,4
Dwellings,311111,3,31,311,3111,6
Residential Buildings,3111110001,3,31,311,3111,10
Caravans,3111110002,3,31,311,3111,10
Houseboats,3111110003,3,31,311,3111,10
Mobile Homes,3111110004,3,31,311,3111,10
Buildings Improvements/Rehabilitation,3111110005,3,31,311,3111,10
Buildings,3111110006,3,31,311,3111,10
Buildings other than dwellings,311112,3,31,311,3111,6
Commercial Buildings,3111120001,3,31,311,3111,10
Industrial Buildings,3111120002,3,31,311,3111,10
Institutional Buildings,3111120003,3,31,311,3111,10
Buildings Improvements/Rehabilitation,3111120004,3,31,311,3111,10
Buildings,3111120005,3,31,311,3111,10
Other structures,311113,3,31,311,3111,6
"Airport, Runways & Helipads",3111130001,3,31,311,3111,10
Roads,3111130002,3,31,311,3111,10
Bridges,3111130003,3,31,311,3111,10
Civil Works,3111130004,3,31,311,3111,10
Dams,3111130005,3,31,311,3111,10
Water infrastructure,3111130006,3,31,311,3111,10
Boreholes,3111130007,3,31,311,3111,10
Dip Tanks & Live Stock Management Facilities,3111130008,3,31,311,3111,10
Irrigation Schemes,3111130009,3,31,311,3111,10
Monuments,3111130010,3,31,311,3111,10
Water Reticulation system,3111130011,3,31,311,3111,10
Sewer Reticulation system,3111130012,3,31,311,3111,10
Sewer Infrastructure,3111130013,3,31,311,3111,10
Land Improvements,311114,3,31,311,3111,6
 Land Sites Improvements,3111140001,3,31,311,3111,10
 Land Sites Rehabilitat & Upgrading,3111140002,3,31,311,3111,10
 Land Sites,3111140003,3,31,311,3111,10
Machinery and equipment,31112,3,31,311,3111,5
Transport equipment,311121,3,31,311,3111,6
Aircraft (Non-Military),3111210001,3,31,311,3111,10
Boats & Water Craft,3111210002,3,31,311,3111,10
Motor Cycles & Bicycles,3111210003,3,31,311,3111,10
Motor Vehicles,3111210004,3,31,311,3111,10
Tractors and Earthmoving Equipment,3111210005,3,31,311,3111,10
Aircraft (Non-Military)  upgrading are acquisition,3111210006,3,31,311,3111,10
Boats & Water Craft   upgrading are acquisition,3111210007,3,31,311,3111,10
Motor Cycles & Bicycles upgrading are acquisition,3111210008,3,31,311,3111,10
Motor Vehicles   Upgrading,3111210009,3,31,311,3111,10
Tractors and Earthmoving Equipment upgrading are acquisition,3111210010,3,31,311,3111,10
Other Machinery and Equipment,311122,3,31,311,3111,6
"Information, Computer & Telecommunication (ICT) Equipment",3111221,3,31,311,3111,7
"Information, Computer & Telecommunication (ICT) Equipment -acquisition",3111221001,3,31,311,3111,10
"Information, Computer & Telecommunication (ICT) Equipment -upgrading",3111221002,3,31,311,3111,10
Machinery & Equipment not elsewhere classified,3111222,3,31,311,3111,7
Generators,3111222001,3,31,311,3111,10
Machinery & Equipment not elsewhere classified -upgrading are acquisition,3111222002,3,31,311,3111,10
Survey Equipment,3111222003,3,31,311,3111,10
Funeral Equipment,3111222004,3,31,311,3111,10
Photographic/Media Equipment,3111222005,3,31,311,3111,10
Sports Equipment,3111222006,3,31,311,3111,10
Teaching and Training Equipment,3111222007,3,31,311,3111,10
Navigational and Telecommunications Equipment,3111222008,3,31,311,3111,10
Camping equipment,3111222009,3,31,311,3111,10
Kitchen and Culinary Equipment,3111222010,3,31,311,3111,10
Office Equipment,3111222011,3,31,311,3111,10
Furniture and Fittings,3111222012,3,31,311,3111,10
Laboratory Equipment,3111222013,3,31,311,3111,10
Hospital Equipment,3111222014,3,31,311,3111,10
Scales and Measures,3111222015,3,31,311,3111,10
Fire Fighting Equipment,3111222016,3,31,311,3111,10
Other fixed assets,31113,3,31,311,3111,5
Cultivated biological resources,311131,3,31,311,3111,6
Animal Resources Yielding Repeat Products,3111310001,3,31,311,3111,10
"Tree, Crop & Plant Resources Yielding Repeat Products",3111310002,3,31,311,3111,10
Intellectual property products,311132,3,31,311,3111,6
Research & Development,3111320001,3,31,311,3111,10
Mineral Exploration & Evaluation,3111320002,3,31,311,3111,10
computer software,3111320003,3,31,311,3111,10
Data bases,3111320004,3,31,311,3111,10
"Entertainment, Literary & Artistic Originals",3111320005,3,31,311,3111,10
Other Intellectual & Property Products,3111320006,3,31,311,3111,10
Costs of ownership transfer on Non-Produced Assets other than land,311133,3,31,311,3111,6
Costs of ownership transfer on Non-Produced Assets other than land,3111330001,3,31,311,3111,10
Weapons systems,31114,3,31,311,3111,5
Weapons systems,3111400001,3,31,311,3111,10
Security Fire arms,3111400002,3,31,311,3111,10
Inventories : Acquisitions,3112,3,31,311,3112,4
Materials and supplies,311221,3,31,311,3112,6
Materials and supplies,3112210001,3,31,311,3112,10
Work in progress,311222,3,31,311,3112,6
Work in progress,3112220001,3,31,311,3112,10
Finished goods,311223,3,31,311,3112,6
Finished goods,3112230001,3,31,311,3112,10
goods for resale,311224,3,31,311,3112,6
goods for resale,3112240001,3,31,311,3112,10
military inventories,311225,3,31,311,3112,6
military inventories,3112250001,3,31,311,3112,10
Asset Under Construction (Dwellings),31123,3,31,311,3112,5
Subcontracting - Dwellings,3112300001,3,31,311,3112,10
Casual Labourers-Dwellings,3112300002,3,31,311,3112,10
Building Materials-Dwellings,3112300003,3,31,311,3112,10
Electrical Supplies-Dwellings,3112300004,3,31,311,3112,10
Plumbing Materials-Dwellings,3112300005,3,31,311,3112,10
Roofing Materials-Dwellings,3112300006,3,31,311,3112,10
Metal Fence & Posts,3112300007,3,31,311,3112,10
Road Surfacing Materials-Dwellings,3112300008,3,31,311,3112,10
Wood & Timber Supplies-Dwellings,3112300009,3,31,311,3112,10
Borehole Casings & Accessories-Dwellings,3112300010,3,31,311,3112,10
Protective clothing- Dwellings,3112300011,3,31,311,3112,10
Fuel-diesel and petrol-Dwellings,3112300012,3,31,311,3112,10
T and S allowances-Dwellings,3112300013,3,31,311,3112,10
Food and Refreshments Dwellings,3112300014,3,31,311,3112,10
Hire of Vehicles-Dwellings,3112300015,3,31,311,3112,10
Hire of Plant and Eqiupment-Dwellings,3112300016,3,31,311,3112,10
Vehicle and Mobile Equipment Maintanance-Dwellings,3112300017,3,31,311,3112,10
Tools and Small Implements-Dwellings,3112300018,3,31,311,3112,10
Consultancy Services-Dwellings,3112300019,3,31,311,3112,10
Public Relations and Communication-Dwellings,3112300020,3,31,311,3112,10
Office Supplies and Stationery -Dwellings,3112300021,3,31,311,3112,10
Asset Under Construction (Buildings other than dwellings),31124,3,31,311,3112,5
Subcontracting - Construction works,3112400001,3,31,311,3112,10
Casual Labourers-Buildings,3112400002,3,31,311,3112,10
Building Materials-Buildings,3112400003,3,31,311,3112,10
Electrical Supplies-Buildings,3112400004,3,31,311,3112,10
Plumbing Materials-Buildings,3112400005,3,31,311,3112,10
Roofing Materials-Buildings,3112400006,3,31,311,3112,10
Metal Fence & Posts-Buildings,3112400007,3,31,311,3112,10
Road Surfacing Materials-Buildings,3112400008,3,31,311,3112,10
Wood & Timber Supplies-Buildings,3112400009,3,31,311,3112,10
Borehole Casings & Accessories-Buildings,3112400010,3,31,311,3112,10
Protective clothing-buildings,3112400011,3,31,311,3112,10
Fuel-diesel and petrol-buildings,3112400012,3,31,311,3112,10
T and S allowances-biuldings,3112400013,3,31,311,3112,10
Food and Refreshmentsbuildings,3112400014,3,31,311,3112,10
Hire of Vehicles-buildings,3112400015,3,31,311,3112,10
Hire of Plant and Eqiupment-buildings,3112400016,3,31,311,3112,10
Vehicle and Mobile Equipment Maintanance-buildings,3112400017,3,31,311,3112,10
Tools and Small Implements-buildings,3112400018,3,31,311,3112,10
Consultancy Services-buildings,3112400019,3,31,311,3112,10
Public Relations and Communication-buildings,3112400020,3,31,311,3112,10
Office Supplies and Stationery -buildings,3112400021,3,31,311,3112,10
Asset Under Construction (Other Structures),31125,3,31,311,3112,5
Subcontracting - Construction works,3112500001,3,31,311,3112,10
Casual Labourers,3112500002,3,31,311,3112,10
Building Materials,3112500003,3,31,311,3112,10
Electrical Supplies,3112500004,3,31,311,3112,10
Plumbing Materials,3112500005,3,31,311,3112,10
Roofing Materials,3112500006,3,31,311,3112,10
Metal Fence & Posts,3112500007,3,31,311,3112,10
Road Surfacing Materials,3112500008,3,31,311,3112,10
Wood & Timber Supplies,3112500009,3,31,311,3112,10
Borehole Casings & Accessories,3112500010,3,31,311,3112,10
Protective clothing-other structures,3112500011,3,31,311,3112,10
Fuel-diesel and petrol-other structures,3112500012,3,31,311,3112,10
T and S allowances-other structures,3112500013,3,31,311,3112,10
Food and Refreshments-other structures,3112500014,3,31,311,3112,10
Hire of Vehicles-other structures,3112500015,3,31,311,3112,10
Hire of Plant and Eqiupment-structures,3112500016,3,31,311,3112,10
Vehicle and Mobile Equipment Maintanance-other structures,3112500017,3,31,311,3112,10
Tools and Small Implements-other strucures,3112500018,3,31,311,3112,10
Consultancy Services-other structures,3112500019,3,31,311,3112,10
Public Relations and Communication-other structures,3112500020,3,31,311,3112,10
Office Supplies and Stationery -other structures,3112500021,3,31,311,3112,10
Valuables : Acquisitions,3113,3,31,311,3113,4
Non-monetary gold,31131,3,31,311,3113,5
Precious stones and metals,3113100001,3,31,311,3113,10
"Paintings, sculptures, and other art work or antiques",3113100002,3,31,311,3113,10
Jewellery,3113100003,3,31,311,3113,10
Other Valuables not elsewhere classified,3113100004,3,31,311,3113,10
Non-produced assets : Acquisitions,3114,3,31,311,3114,4
Land,31141,3,31,311,3114,5
Agricultural Land,3114100001,3,31,311,3114,10
Commercial Land,3114100002,3,31,311,3114,10
Derelict  Land,3114100003,3,31,311,3114,10
Industrial Land,3114100004,3,31,311,3114,10
Land for Institutional Buildings,3114100005,3,31,311,3114,10
Public Open Space,3114100006,3,31,311,3114,10
Residential Land,3114100007,3,31,311,3114,10
Mineral and energy resources,31142,3,31,311,3114,5
Mineral and energy resources,3114200001,3,31,311,3114,10
Other naturally occurring assets,31143,3,31,311,3114,5
Non-cultivated Biological Resources,311431,3,31,311,3114,6
Non-cultivated Biological Resources,3114310001,3,31,311,3114,10
Water Resources,311432,3,31,311,3114,6
Water Resources,3114320001,3,31,311,3114,10
Other Natural Resources,311433,3,31,311,3114,6
Radio Spectra,3114330001,3,31,311,3114,10
Natural Resources not elsewhere classified,3114330002,3,31,311,3114,10
Intangible non-produced assets,31144,3,31,311,3114,5
"Contracts, leases, and licenses",311441,3,31,311,3114,6
Marketable operating leases,3114410001,3,31,311,3114,10
Permits to use natural resources,3114410002,3,31,311,3114,10
Permits to undertake specific activities,3114410003,3,31,311,3114,10
Entitlement to future goods and services on an exclusive basis,3114410004,3,31,311,3114,10
Goodwill and marketing assets,311442,3,31,311,3114,6
Goodwill and marketing assets,3114420001,3,31,311,3114,10
Fixed assets : Disposals,3121,3,31,312,3121,4
Buildings and structures,31211,3,31,312,3121,5
Dwellings,312111,3,31,312,3121,6
Residential Buildings,3121110001,3,31,312,3121,10
Caravans,3121110002,3,31,312,3121,10
Houseboats,3121110003,3,31,312,3121,10
Mobile Homes,3121110004,3,31,312,3121,10
Buildings,3121110005,3,31,312,3121,10
Buildings other than dwellings,312112,3,31,312,3121,6
Commercial Buildings,3121120001,3,31,312,3121,10
Industrial Buildings,3121120002,3,31,312,3121,10
Institutional Buildings,3121120003,3,31,312,3121,10
Buildings,3121120004,3,31,312,3121,10
Other structures,312113,3,31,312,3121,6
"Airport, Runways & Helipads",3121130001,3,31,312,3121,10
Roads,3121130002,3,31,312,3121,10
Bridges,3121130003,3,31,312,3121,10
Civil Works,3121130004,3,31,312,3121,10
Dams,3121130005,3,31,312,3121,10
Water Works,3121130006,3,31,312,3121,10
Boreholes,3121130007,3,31,312,3121,10
Dip Tanks & Live Stock Management Facilities,3121130008,3,31,312,3121,10
Irrigation Schemes,3121130009,3,31,312,3121,10
Monuments,3121130010,3,31,312,3121,10
Land Improvements,312114,3,31,312,3121,6
 Land Sites,3121140001,3,31,312,3121,10
Machinery and equipment,31212,3,31,312,3121,5
Transport equipment,312121,3,31,312,3121,6
Aircraft (Non-Military),3121210001,3,31,312,3121,10
Boats & Water Craft,3121210002,3,31,312,3121,10
Motor Cycles & Bicycles,3121210003,3,31,312,3121,10
Motor Vehicles,3121210004,3,31,312,3121,10
Tractors and Earthmoving Equipment,3121210005,3,31,312,3121,10
Other Machinery and Equipment,312122,3,31,312,3121,6
"Information, Computer & Telecommunication (ICT) Equipment",3121221,3,31,312,3121,7
"Information, Computer & Telecommunication (ICT) Equipment",3121221001,3,31,312,3121,10
Machinery & Equipment not elsewhere classified,3121222,3,31,312,3121,7
Generators,3121222001,3,31,312,3121,10
Machinery & Equipment not elsewhere classified -,3121222002,3,31,312,3121,10
Survey Equipment,3121222003,3,31,312,3121,10
Funeral Equipment,3121222004,3,31,312,3121,10
Photographic/Media Equipment,3121222005,3,31,312,3121,10
Sports Equipment,3121222006,3,31,312,3121,10
Teaching and Training Equipment,3121222007,3,31,312,3121,10
Navigational and Telecommunications Equipment,3121222008,3,31,312,3121,10
Camping equipment,3121222009,3,31,312,3121,10
Kitchen and Culinary Equipment,3121222010,3,31,312,3121,10
Office Equipment,3121222011,3,31,312,3121,10
Furniture and Fittings,3121222012,3,31,312,3121,10
Laboratory Equipment,3121222013,3,31,312,3121,10
Hospital Equipment,3121222014,3,31,312,3121,10
Scales and Measures,3121222015,3,31,312,3121,10
Fire Fighting Equipment,3121222016,3,31,312,3121,10
Other fixed assets,31213,3,31,312,3121,5
Cultivated biological resources,312131,3,31,312,3121,6
Animal Resources Yielding Repeat Products,3121310001,3,31,312,3121,10
"Tree, Crop & Plant Resources Yielding Repeat Products",3121310002,3,31,312,3121,10
Intellectual property products,312132,3,31,312,3121,6
Research & Development,3121320001,3,31,312,3121,10
Mineral Exploration & Evaluation,3121320002,3,31,312,3121,10
computer software,3121320003,3,31,312,3121,10
Data bases,3121320004,3,31,312,3121,10
"Entertainment, Literary & Artistic Originals",3121320005,3,31,312,3121,10
Other Intellectual & Property Products,3121320006,3,31,312,3121,10
Costs of ownership transfer on Non-Produced Assets other than land,312133,3,31,312,3121,6
Costs of ownership transfer on Non-Produced Assets other than land,3121330001,3,31,312,3121,10
Weapons systems,31214,3,31,312,3121,5
Weapons systems,3121400001,3,31,312,3121,10
Inventories : Disposals,3122,3,31,312,3122,4
Materials and supplies,312221,3,31,312,3122,6
Materials and supplies,3122210001,3,31,312,3122,10
Work in progress,312222,3,31,312,3122,6
Work in progress,3122220001,3,31,312,3122,10
Finished goods,312223,3,31,312,3122,6
Finished goods,3122230001,3,31,312,3122,10
goods for resale,312224,3,31,312,3122,6
goods for resale,3122240001,3,31,312,3122,10
military inventories,312225,3,31,312,3122,6
military inventories,3122250001,3,31,312,3122,10
Asset Under Construction (Dwellings),31223,3,31,312,3122,5
Subcontracting - Dwellings,3122300001,3,31,312,3122,10
Casual Labourers-Dwellings,3122300002,3,31,312,3122,10
Building Materials-Dwellings,3122300003,3,31,312,3122,10
Electrical Supplies-Dwellings,3122300004,3,31,312,3122,10
Plumbing Materials-Dwellings,3122300005,3,31,312,3122,10
Roofing Materials-Dwellings,3122300006,3,31,312,3122,10
Metal Fence & Posts,3122300007,3,31,312,3122,10
Road Surfacing Materials-Dwellings,3122300008,3,31,312,3122,10
Wood & Timber Supplies-Dwellings,3122300009,3,31,312,3122,10
Borehole Casings & Accessories-Dwellings,3122300010,3,31,312,3122,10
Protective clothing- Dwellings,3122300011,3,31,312,3122,10
Fuel-diesel and petrol-Dwellings,3122300012,3,31,312,3122,10
T and S allowances-Dwellings,3122300013,3,31,312,3122,10
Food and Refreshments Dwellings,3122300014,3,31,312,3122,10
Hire of Vehicles-Dwellings,3122300015,3,31,312,3122,10
Hire of Plant and Eqiupment-Dwellings,3122300016,3,31,312,3122,10
Vehicle and Mobile Equipment Maintanance-Dwellings,3122300017,3,31,312,3122,10
Tools and Small Implements-Dwellings,3122300018,3,31,312,3122,10
Consultancy Services-Dwellings,3122300019,3,31,312,3122,10
Public Relations and Communication-Dwellings,3122300020,3,31,312,3122,10
Office Supplies and Stationery -Dwellings,3122300021,3,31,312,3122,10
Asset Under Construction (Buildings other than dwellings),31224,3,31,312,3122,5
Subcontracting - Construction works,3122400001,3,31,312,3122,10
Casual Labourers-Buildings,3122400002,3,31,312,3122,10
Building Materials-Buildings,3122400003,3,31,312,3122,10
Electrical Supplies-Buildings,3122400004,3,31,312,3122,10
Plumbing Materials-Buildings,3122400005,3,31,312,3122,10
Roofing Materials-Buildings,3122400006,3,31,312,3122,10
Metal Fence & Posts-Buildings,3122400007,3,31,312,3122,10
Road Surfacing Materials-Buildings,3122400008,3,31,312,3122,10
Wood & Timber Supplies-Buildings,3122400009,3,31,312,3122,10
Borehole Casings & Accessories-Buildings,3122400010,3,31,312,3122,10
Protective clothing-buildings,3122400011,3,31,312,3122,10
Fuel-diesel and petrol-buildings,3122400012,3,31,312,3122,10
T and S allowances-biuldings,3122400013,3,31,312,3122,10
Food and Refreshmentsbuildings,3122400014,3,31,312,3122,10
Hire of Vehicles-buildings,3122400015,3,31,312,3122,10
Hire of Plant and Eqiupment-buildings,3122400016,3,31,312,3122,10
Vehicle and Mobile Equipment Maintanance-buildings,3122400017,3,31,312,3122,10
Tools and Small Implements-buildings,3122400018,3,31,312,3122,10
Consultancy Services-buildings,3122400019,3,31,312,3122,10
Public Relations and Communication-buildings,3122400020,3,31,312,3122,10
Office Supplies and Stationery -buildings,3122400021,3,31,312,3122,10
Asset Under Construction (Other Structures),31225,3,31,312,3122,5
Subcontracting - Construction works,3122500001,3,31,312,3122,10
Casual Labourers,3122500002,3,31,312,3122,10
Building Materials,3122500003,3,31,312,3122,10
Electrical Supplies,3122500004,3,31,312,3122,10
Plumbing Materials,3122500005,3,31,312,3122,10
Roofing Materials,3122500006,3,31,312,3122,10
Metal Fence & Posts,3122500007,3,31,312,3122,10
Road Surfacing Materials,3122500008,3,31,312,3122,10
Wood & Timber Supplies,3122500009,3,31,312,3122,10
Borehole Casings & Accessories,3122500010,3,31,312,3122,10
Protective clothing-other structures,3122500011,3,31,312,3122,10
Fuel-diesel and petrol-other structures,3122500012,3,31,312,3122,10
T and S allowances-other structures,3122500013,3,31,312,3122,10
Food and Refreshments-other structures,3122500014,3,31,312,3122,10
Hire of Vehicles-other structures,3122500015,3,31,312,3122,10
Hire of Plant and Eqiupment-structures,3122500016,3,31,312,3122,10
Vehicle and Mobile Equipment Maintanance-other structures,3122500017,3,31,312,3122,10
Tools and Small Implements-other strucures,3122500018,3,31,312,3122,10
Consultancy Services-other structures,3122500019,3,31,312,3122,10
Public Relations and Communication-other structures,3122500020,3,31,312,3122,10
Office Supplies and Stationery -other structures,3122500021,3,31,312,3122,10
Valuables : Disposals,3123,3,31,312,3123,4
Non-monetary gold,31231,3,31,312,3123,5
Precious stones and metals,3123100001,3,31,312,3123,10
"Paintings, sculptures, and other art work or antiques",3123100002,3,31,312,3123,10
Jewellery,3123100003,3,31,312,3123,10
Other Valuables not elsewhere classified,3123100004,3,31,312,3123,10
Non-produced assets : Disposals,3124,3,31,312,3124,4
Land,31241,3,31,312,3124,5
Agricultural Land,3124100001,3,31,312,3124,10
Commercial Land,3124100002,3,31,312,3124,10
Derelict  Land,3124100003,3,31,312,3124,10
Industrial Land,3124100004,3,31,312,3124,10
Land for Institutional Buildings,3124100005,3,31,312,3124,10
Public Open Space,3124100006,3,31,312,3124,10
Residential Land,3124100007,3,31,312,3124,10
Mineral and energy resources,31242,3,31,312,3124,5
Mineral and energy resources,3124200001,3,31,312,3124,10
Other naturally occurring assets,31243,3,31,312,3124,5
Non-cultivated Biological Resources,312431,3,31,312,3124,6
Non-cultivated Biological Resources,3124310001,3,31,312,3124,10
Water Resources,312432,3,31,312,3124,6
Water Resources,3124320001,3,31,312,3124,10
Other Natural Resources,312433,3,31,312,3124,6
Radio Spectra,3124330001,3,31,312,3124,10
Natural Resources not elsewhere classified,3124330002,3,31,312,3124,10
Intangible non-produced assets,31244,3,31,312,3124,5
"Contracts, leases, and licenses",312441,3,31,312,3124,6
Marketable operating leases,3124410001,3,31,312,3124,10
Permits to use natural resources,3124410002,3,31,312,3124,10
Permits to undertake specific activities,3124410003,3,31,312,3124,10
Entitlement to future goods and services on an exclusive basis,3124410004,3,31,312,3124,10
Goodwill and marketing assets,312442,3,31,312,3124,6
Goodwill and marketing assets,3124420001,3,31,312,3124,10
Fixed assets : Consumption of fixed capital,3131,3,31,313,3131,4
Buildings and structures,31311,3,31,313,3131,5
Dwellings,313111,3,31,313,3131,6
Residential Buildings,3131110001,3,31,313,3131,10
Caravans,3131110002,3,31,313,3131,10
Houseboats,3131110003,3,31,313,3131,10
Mobile Homes,3131110004,3,31,313,3131,10
Buildings other than dwellings,313112,3,31,313,3131,6
Commercial Buildings,3131120001,3,31,313,3131,10
Industrial Buildings,3131120002,3,31,313,3131,10
Institutional Buildings,3131120003,3,31,313,3131,10
Other structures,313113,3,31,313,3131,6
"Airport, Runways & Helipads",3131130001,3,31,313,3131,10
Roads,3131130002,3,31,313,3131,10
Bridges,3131130003,3,31,313,3131,10
Civil Works,3131130004,3,31,313,3131,10
Dams,3131130005,3,31,313,3131,10
Water Works,3131130006,3,31,313,3131,10
Boreholes,3131130007,3,31,313,3131,10
Dip Tanks & Live Stock Management Facilities,3131130008,3,31,313,3131,10
Irrigation Schemes,3131130009,3,31,313,3131,10
Monuments,3131130010,3,31,313,3131,10
Railways,3131130011,3,31,313,3131,10
Land Improvements,313114,3,31,313,3131,6
 Land Sites,3131140001,3,31,313,3131,10
Land Sites Rehabilitation & Upgrading,3131140002,3,31,313,3131,10
Machinery and equipment,31312,3,31,313,3131,5
Transport equipment,313121,3,31,313,3131,6
Aircraft (Non-Military),3131210001,3,31,313,3131,10
Boats & Water Craft,3131210002,3,31,313,3131,10
Motor Cycles & Bicycles,3131210003,3,31,313,3131,10
Motor Vehicles,3131210004,3,31,313,3131,10
Tractors and Earthmoving Equipment,3131210005,3,31,313,3131,10
Other Machinery and Equipment,313122,3,31,313,3131,6
"Information, Computer & Telecommunication (ICT) Equipment",3131221,3,31,313,3131,7
"Information, Computer & Telecommunication (ICT) Equipment",3131221001,3,31,313,3131,10
Machinery & Equipment not elsewhere classified,3131222,3,31,313,3131,7
Generators,3131222001,3,31,313,3131,10
Machinery & Equipment not elsewhere classified -,3131222002,3,31,313,3131,10
Survey Equipment,3131222003,3,31,313,3131,10
Funeral Equipment,3131222004,3,31,313,3131,10
Photographic/Media Equipment,3131222005,3,31,313,3131,10
Sports Equipment,3131222006,3,31,313,3131,10
Teaching and Training Equipment,3131222007,3,31,313,3131,10
Navigational and Telecommunications Equipment,3131222008,3,31,313,3131,10
Camping equipment,3131222009,3,31,313,3131,10
Kitchen and Culinary Equipment,3131222010,3,31,313,3131,10
Office Equipment,3131222011,3,31,313,3131,10
Furniture and Fittings,3131222012,3,31,313,3131,10
Laboratory Equipment,3131222013,3,31,313,3131,10
Hospital Equipment,3131222014,3,31,313,3131,10
Scales and Measures,3131222015,3,31,313,3131,10
Fire Fighting Equipment,3131222016,3,31,313,3131,10
Other fixed assets,31313,3,31,313,3131,5
Cultivated biological resources,313131,3,31,313,3131,6
Animal Resources Yielding Repeat Products,3131310001,3,31,313,3131,10
"Tree, Crop & Plant Resources Yielding Repeat Products",3131310002,3,31,313,3131,10
Intellectual property products,313132,3,31,313,3131,6
Research & Development,3131320001,3,31,313,3131,10
Mineral Exploration & Evaluation,3131320002,3,31,313,3131,10
computer software,3131320003,3,31,313,3131,10
Data bases,3131320004,3,31,313,3131,10
"Entertainment, Literary & Artistic Originals",3131320005,3,31,313,3131,10
Other Intellectual & Property Products,3131320006,3,31,313,3131,10
Costs of ownership transfer on Non-Produced Assets other than land,313133,3,31,313,3131,6
Costs of ownership,3131330001,3,31,313,3131,10
Weapons systems,31314,3,31,313,3131,5
Weapons systems,3131400001,3,31,313,3131,10
Fixed assets : Revaluation (OEF),911,9,91,911,911,3
Buildings and structures,9111,9,91,911,9111,4
Dwellings,91111,9,91,911,9111,5
Residential Buildings,9111100001,9,91,911,9111,10
Caravans,9111100002,9,91,911,9111,10
Houseboats,9111100003,9,91,911,9111,10
Mobile Homes,9111100004,9,91,911,9111,10
Buildings other than dwellings,91112,9,91,911,9111,5
Commercial Buildings,9111200001,9,91,911,9111,10
Industrial Buildings,9111200002,9,91,911,9111,10
Institutional Buildings,9111200003,9,91,911,9111,10
Buildings,9111200004,9,91,911,9111,10
Other structures,91113,9,91,911,9111,5
"Airport, Runways & Helipads",9111300001,9,91,911,9111,10
Roads,9111300002,9,91,911,9111,10
Bridges,9111300003,9,91,911,9111,10
Civil Works,9111300004,9,91,911,9111,10
Dams,9111300005,9,91,911,9111,10
Water Works,9111300006,9,91,911,9111,10
Boreholes,9111300007,9,91,911,9111,10
Dip Tanks & Live Stock Management Facilities,9111300008,9,91,911,9111,10
Irrigation Schemes,9111300009,9,91,911,9111,10
Monuments,9111300010,9,91,911,9111,10
Buildings,9111300011,9,91,911,9111,10
Land Improvements,91114,9,91,911,9111,5
 Land Sites,9111400001,9,91,911,9111,10
Machinery and equipment,9112,9,91,911,9112,4
Transport equipment,91121,9,91,911,9112,5
Aircraft (Non-Military),9112100001,9,91,911,9112,10
Boats & Water Craft,9112100002,9,91,911,9112,10
Motor Cycles & Bicycles,9112100003,9,91,911,9112,10
Motor Vehicles,9112100004,9,91,911,9112,10
Tractors and Earthmoving Equipment,9112100005,9,91,911,9112,10
Other Machinery and Equipment,91122,9,91,911,9112,5
